Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
31,Information Engineering & Media,BCC/D (68.75),BCC/B (71.25),BBC/C (72.5),BCC/D (68.75),BBC/B (73.75),BBC/B (73.75),BBC/B (73.75),BCC/C (70),BCC/D (68.75),BCC/D (68.75),CCC/B (68.75),BCC/B (71.25),BBC/B (73.75),BBC/B (73.75),BBC/C (72.5),BBB/C (75)
32,Information Engineering & Media,3.62,3.66,3.66,3.55,3.49,3.63,3.70,3.48,3.53,3.48,3.52,3.55,3.58,3.60,3.64,3.56
33,Information Engineering & Media,99,105,91,97,97,81,90,96,90,112,77,80,90,74,70,61
34,Maritime Studies,BCC/D (68.75),BCC/D (68.75),BCC/D (68.75),CCD/C (65),BCC/C (70),BCC/B (71.25),BBC/C (72.5),BBC/C (72.5),ABC/D (73.75),ABC/D (73.75),BBB/C (75),BBB/B (76.25),ABB/B (78.75),AAB/A (82.5),ABB/A (80),ABB/B (78.75)
36,Maritime Studies,3.51,3.50,3.50,3.50,3.54,3.69,3.68,3.78,3.69,3.68,3.70,3.68,3.71,3.74,3.65,#
37,Maritime Studies,145,129,112,87,86,87,83,84,84,84,92,65,59,60,61,49
39,Materials Engineering,CCC/C (67.5),BCC/C (70),BCC/C (70),CCD/C (65),BCC/D (68.75),BBC/C (72.5),BCC/C (70),BCC/D (68.75),BCC/D (68.75),BCC/D (68.75),CCD/C (65),BCC/C (70),BCC/B (71.25),BBC/B (73.75),BBC/C (72.5),BCC/B (71.25)
40,Materials Engineering,3.35,3.41,3.39,3.36,3.38,3.46,3.49,3.51,3.46,3.48,3.39,3.46,3.52,3.51,3.24,3.38
41,Materials Engineering,157,166,170,215,211,203,195,201,239,230,243,206,261,247,294,231
42,Mechanical Engineering,CDD/C (62.5),CCD/D (63.75),CCC/C (67.5),CCC/D (66.25),BCC/D (68.75),BCC/C (70),BCC/C (70),BCC/C (70),CCC/D (66.25),ABC/D (73.75),CCD/C (65),BCC/D (68.75),BCC/C (70),BCC/B (71.25),BCC/B (71.25),BCC/C (70)
43,Mechanical Engineering,3.39,3.37,3.49,3.44,3.40,3.61,3.63,3.44,3.46,3.50,3.47,3.48,3.55,3.60,3.32,3.24
44,Mechanical Engineering,448,520,492,549,540,532,530,485,489,553,540,475,528,487,619,488
